ID;nps_question;csat_atendimento;csat_ambiente;csat_qualidade;date;city
ID222;10;2;4;5;01/03/2023;Piracicaba
ID223;6;3;1;3;26/03/2023;Marilia
ID224;7;2;1;3;27/05/2023;Ribeirao Preto
ID225;9;2;3;1;16/01/2023;Bauru
ID226;1;4;1;4;23/05/2023;Piracicaba
ID227;5;4;2;2;02/04/2023;Marilia
ID228;5;2;3;5;05/09/2023;Ribeirao Preto
ID229;8;2;3;5;13/09/2023;Bauru
ID230;5;2;2;1;09/12/2023;Piracicaba
ID231;7;2;5;4;05/01/2023;Marilia
ID232;4;4;4;1;07/01/2023;Ribeirao Preto
ID233;2;5;4;4;24/09/2023;Bauru
ID234;1;1;5;1;28/09/2023;Piracicaba
ID235;1;4;3;3;27/04/2023;Marilia
ID236;2;2;3;2;01/12/2023;Ribeirao Preto
ID237;1;3;4;4;03/05/2023;Bauru
ID238;2;3;1;2;31/01/2023;Piracicaba
ID239;8;2;4;1;10/02/2023;Marilia
ID240;1;1;5;5;29/10/2023;Ribeirao Preto
ID241;3;3;4;1;10/03/2023;Bauru
ID242;2;3;4;5;24/01/2023;Piracicaba
ID243;2;4;1;3;14/04/2023;Marilia
ID244;5;2;2;2;17/06/2023;Ribeirao Preto
ID245;9;4;5;2;06/10/2023;Bauru
ID246;10;1;4;4;23/05/2023;Piracicaba
ID247;6;1;3;2;07/06/2023;Marilia
ID248;10;1;1;5;10/04/2023;Ribeirao Preto
ID249;10;2;3;2;24/02/2023;Bauru
ID250;6;5;1;1;11/11/2023;Piracicaba
ID251;3;3;4;4;24/06/2023;Marilia
ID252;4;4;3;5;21/01/2023;Ribeirao Preto
ID253;3;1;5;5;20/04/2023;Bauru
ID254;7;5;4;3;30/05/2023;Piracicaba
ID255;3;2;3;2;09/06/2023;Marilia
ID256;2;2;1;3;07/01/2023;Ribeirao Preto
ID257;7;3;1;1;07/06/2023;Bauru
ID258;3;2;5;3;28/07/2023;Piracicaba
ID259;9;5;5;1;28/06/2023;Marilia
ID260;7;5;4;3;03/10/2023;Ribeirao Preto
ID261;9;2;2;1;01/11/2023;Bauru
ID262;4;1;3;1;14/12/2023;Piracicaba
ID263;2;5;2;5;16/11/2023;Marilia
ID264;6;2;2;3;07/01/2023;Ribeirao Preto
ID265;10;1;4;2;27/12/2023;Bauru
ID266;9;3;3;5;13/06/2023;Piracicaba
ID267;7;5;2;2;23/11/2023;Marilia
ID268;5;1;3;5;12/11/2023;Ribeirao Preto
ID269;1;2;3;5;08/02/2023;Bauru
ID270;3;1;2;5;31/03/2023;Piracicaba
ID271;2;4;2;5;19/07/2023;Marilia
ID272;5;4;2;1;02/07/2023;Ribeirao Preto
ID273;1;3;2;3;22/10/2023;Bauru
ID274;3;3;5;2;19/04/2023;Piracicaba
ID275;9;4;3;1;25/12/2023;Marilia
ID276;2;4;2;4;25/07/2023;Ribeirao Preto
ID277;6;5;5;4;12/04/2023;Bauru
ID278;3;2;2;5;27/11/2023;Piracicaba
ID279;3;3;5;1;22/05/2023;Marilia
ID280;9;2;2;3;04/01/2023;Ribeirao Preto
ID281;2;4;1;5;08/04/2023;Bauru
ID282;1;4;5;3;28/09/2023;Piracicaba
ID283;6;2;2;5;05/01/2023;Marilia
ID284;10;2;5;5;14/09/2023;Ribeirao Preto
ID285;8;4;1;1;11/12/2023;Bauru
ID286;10;3;4;5;03/03/2023;Piracicaba
ID287;10;2;2;1;17/09/2023;Marilia
ID288;4;2;4;2;17/11/2023;Ribeirao Preto
ID289;6;4;1;5;06/06/2023;Bauru
ID290;4;5;2;3;06/08/2023;Piracicaba
ID291;4;3;4;3;02/04/2023;Marilia
ID292;9;4;3;3;08/08/2023;Ribeirao Preto
ID293;8;2;2;2;15/12/2023;Bauru
ID294;7;3;1;3;10/01/2023;Piracicaba
ID295;10;5;2;3;09/03/2023;Marilia
ID296;1;1;3;4;25/11/2023;Ribeirao Preto
ID297;2;2;2;4;21/05/2023;Bauru
ID298;8;4;3;3;24/02/2023;Piracicaba
ID299;3;3;5;4;25/08/2023;Marilia
ID300;10;2;4;2;13/08/2023;Ribeirao Preto
ID301;7;5;2;3;13/12/2023;Bauru
ID302;1;4;2;3;05/01/2023;Piracicaba
ID303;2;5;4;4;19/06/2023;Marilia
ID304;3;4;3;4;14/12/2023;Ribeirao Preto
ID305;3;1;2;5;21/01/2023;Bauru
ID306;6;1;1;2;13/01/2023;Piracicaba
ID307;10;1;2;1;11/04/2023;Marilia
ID308;5;2;5;2;11/04/2023;Ribeirao Preto
ID309;4;2;1;5;29/10/2023;Bauru
ID310;2;2;4;1;19/07/2023;Piracicaba
ID311;1;1;4;3;26/06/2023;Marilia
ID312;1;1;3;3;01/06/2023;Ribeirao Preto
ID313;5;1;3;2;12/08/2023;Bauru
ID314;2;2;3;2;19/12/2023;Piracicaba
ID315;2;1;2;5;17/09/2023;Marilia
ID316;3;5;4;1;28/10/2023;Ribeirao Preto
ID317;5;3;2;3;14/11/2023;Bauru
ID318;6;5;3;3;20/03/2023;Piracicaba
ID319;10;3;5;3;13/03/2023;Marilia
ID320;3;5;1;3;23/04/2023;Ribeirao Preto
ID321;3;5;2;3;09/02/2023;Bauru
ID322;1;5;4;4;24/07/2023;Piracicaba
ID323;8;5;3;5;13/02/2023;Marilia
ID324;1;3;1;1;26/10/2023;Ribeirao Preto
ID325;4;2;2;3;08/06/2023;Bauru
ID326;8;5;4;1;10/02/2023;Piracicaba
ID327;10;3;4;5;29/12/2023;Marilia
ID328;10;5;4;5;21/01/2023;Ribeirao Preto
ID329;8;5;4;2;12/01/2023;Bauru
ID330;7;2;1;3;19/03/2023;Piracicaba
ID331;2;4;4;3;28/05/2023;Marilia
ID332;1;5;4;5;15/07/2023;Ribeirao Preto
ID333;4;3;4;2;09/03/2023;Bauru
ID334;9;1;5;1;23/01/2023;Piracicaba
ID335;5;2;3;5;01/09/2023;Marilia
ID336;8;4;1;3;23/11/2023;Ribeirao Preto
ID337;2;4;3;5;09/11/2023;Bauru
ID338;5;2;4;3;13/08/2023;Piracicaba
ID339;2;1;3;4;09/08/2023;Marilia
ID340;6;1;2;2;02/11/2023;Ribeirao Preto
ID341;10;2;4;4;13/01/2023;Bauru
ID342;10;4;3;2;02/07/2023;Piracicaba
ID343;9;5;2;5;23/03/2023;Marilia
ID344;7;4;2;3;26/11/2023;Ribeirao Preto
ID345;6;1;2;4;23/11/2023;Bauru
ID346;3;5;5;1;11/05/2023;Piracicaba
ID347;8;2;5;5;29/09/2023;Marilia
ID348;7;5;4;4;18/07/2023;Ribeirao Preto
ID349;4;4;1;2;07/01/2023;Bauru
ID350;8;2;5;3;09/02/2023;Piracicaba
ID351;3;4;2;1;01/01/2023;Marilia
ID352;8;5;3;5;19/12/2023;Ribeirao Preto
ID353;6;1;1;3;17/12/2023;Bauru
ID354;4;1;4;5;10/08/2023;Piracicaba
ID355;7;5;1;1;25/11/2023;Marilia
ID356;10;5;4;2;09/09/2023;Ribeirao Preto
ID357;8;1;1;1;29/11/2023;Bauru
ID358;4;2;2;1;23/01/2023;Piracicaba
ID359;10;3;1;4;21/12/2023;Marilia
ID360;9;4;3;1;30/07/2023;Ribeirao Preto
ID361;6;5;2;3;17/05/2023;Bauru
ID362;3;5;4;4;08/11/2023;Piracicaba
ID363;4;1;4;3;16/02/2023;Marilia
ID364;9;1;1;2;24/07/2023;Ribeirao Preto
ID365;9;2;1;1;12/07/2023;Bauru
ID366;4;1;1;1;10/09/2023;Piracicaba
ID367;4;1;1;2;03/10/2023;Marilia
ID368;6;5;1;3;31/03/2023;Ribeirao Preto
ID369;5;5;4;4;16/05/2023;Bauru
ID370;1;5;2;1;03/01/2023;Piracicaba
ID371;8;2;5;3;23/08/2023;Marilia
ID372;7;1;4;1;22/07/2023;Ribeirao Preto
ID373;5;4;2;2;05/03/2023;Bauru
ID374;6;1;5;4;20/03/2023;Piracicaba
ID375;3;2;1;2;22/06/2023;Marilia
ID376;8;3;3;1;17/01/2023;Ribeirao Preto
ID377;10;1;4;4;17/12/2023;Bauru
ID378;5;2;5;1;26/02/2023;Piracicaba
ID379;7;4;3;5;21/07/2023;Marilia
ID380;4;1;5;3;13/02/2023;Ribeirao Preto
ID381;9;1;2;3;24/04/2023;Bauru
ID382;3;3;5;2;11/12/2023;Piracicaba
ID383;10;1;5;1;14/06/2023;Marilia
ID384;7;2;4;1;21/02/2023;Ribeirao Preto
ID385;2;1;2;5;05/12/2023;Bauru
ID386;9;5;1;3;07/07/2023;Piracicaba
ID387;6;1;2;1;26/12/2023;Marilia
ID388;4;1;2;3;22/05/2023;Ribeirao Preto
ID389;6;4;3;5;26/11/2023;Bauru
ID390;2;5;2;5;24/12/2023;Piracicaba
ID391;2;4;1;1;21/04/2023;Marilia
ID392;8;4;5;4;18/07/2023;Ribeirao Preto
ID393;8;3;4;2;13/08/2023;Bauru
ID394;5;1;1;3;26/08/2023;Piracicaba
ID395;9;1;1;3;04/04/2023;Marilia
ID396;7;1;4;3;25/04/2023;Ribeirao Preto
ID397;3;1;5;1;13/02/2023;Bauru
ID398;7;5;1;1;24/12/2023;Piracicaba
ID399;8;1;2;1;17/02/2023;Marilia
ID400;10;4;1;1;03/09/2023;Ribeirao Preto
ID401;5;2;4;5;29/01/2023;Bauru
ID402;1;4;3;2;26/02/2023;Piracicaba
ID403;7;3;5;4;20/12/2023;Marilia
ID404;6;5;2;3;21/03/2023;Ribeirao Preto
ID405;8;2;1;4;25/09/2023;Bauru
ID406;4;3;4;4;08/02/2023;Piracicaba
ID407;6;5;5;4;18/01/2023;Marilia
ID408;1;1;1;1;12/04/2023;Ribeirao Preto
ID409;3;3;3;5;30/07/2023;Bauru
ID410;4;3;3;2;11/12/2023;Piracicaba
ID411;1;5;3;5;02/09/2023;Marilia
ID412;5;5;3;3;22/12/2023;Ribeirao Preto
ID413;4;1;5;1;12/10/2023;Bauru
ID414;2;2;2;5;01/03/2023;Piracicaba
ID415;7;1;3;3;01/12/2023;Marilia
ID416;3;2;2;5;24/09/2023;Ribeirao Preto
ID417;10;5;1;5;07/05/2023;Bauru
ID418;3;1;5;1;09/01/2023;Piracicaba
ID419;1;4;4;2;12/07/2023;Marilia
ID420;7;3;1;1;29/04/2023;Ribeirao Preto
ID421;6;1;2;1;01/10/2023;Bauru
ID422;4;5;3;5;01/10/2023;Piracicaba
ID423;5;2;2;4;22/11/2023;Marilia
ID424;7;3;2;3;14/07/2023;Ribeirao Preto
ID425;3;3;5;5;15/04/2023;Bauru
ID426;2;4;1;4;30/10/2023;Piracicaba
ID427;8;3;2;5;02/11/2023;Marilia
ID428;4;3;1;3;14/05/2023;Ribeirao Preto
ID429;6;4;3;1;18/05/2023;Bauru
ID430;10;3;2;4;17/01/2023;Piracicaba
ID431;7;2;3;3;25/05/2023;Marilia
ID432;6;2;5;1;24/03/2023;Ribeirao Preto
ID433;1;2;4;2;15/02/2023;Bauru
ID434;6;4;1;4;05/07/2023;Piracicaba
ID435;8;3;3;4;18/10/2023;Marilia
ID436;3;1;5;3;21/03/2023;Ribeirao Preto
ID437;2;3;4;4;09/11/2023;Bauru
ID438;3;2;2;4;27/04/2023;Piracicaba
ID439;1;2;5;3;24/06/2023;Marilia
ID440;2;4;4;4;08/10/2023;Ribeirao Preto
ID441;2;3;3;2;08/06/2023;Bauru
ID442;8;4;3;3;24/05/2023;Piracicaba
ID443;10;4;5;2;30/04/2023;Marilia
ID444;4;5;3;3;24/05/2023;Ribeirao Preto
ID445;9;1;3;2;01/04/2023;Bauru
ID446;7;3;5;4;07/11/2023;Piracicaba
ID447;8;4;3;4;19/07/2023;Marilia
ID448;3;5;1;2;05/04/2023;Ribeirao Preto
ID449;6;4;2;5;29/12/2023;Bauru
ID450;6;5;3;4;19/03/2023;Piracicaba
ID451;8;5;5;3;11/12/2023;Marilia
ID452;1;2;3;4;21/07/2023;Ribeirao Preto
ID453;2;3;4;1;28/07/2023;Bauru
ID454;5;3;4;1;11/07/2023;Piracicaba
ID455;8;1;3;3;03/09/2023;Marilia
ID456;8;3;4;4;24/09/2023;Ribeirao Preto
ID457;7;4;3;3;22/02/2023;Bauru
ID458;5;4;5;4;10/05/2023;Piracicaba
ID459;1;4;3;5;13/04/2023;Marilia
ID460;10;1;3;2;15/12/2023;Ribeirao Preto
ID461;9;1;3;5;11/08/2023;Bauru
ID462;9;2;2;3;06/09/2023;Piracicaba
ID463;7;4;2;1;15/06/2023;Marilia
ID464;10;4;5;2;24/07/2023;Ribeirao Preto
ID465;4;3;5;4;01/01/2023;Bauru
ID466;8;3;1;3;24/07/2023;Piracicaba
ID467;4;1;3;5;24/03/2023;Marilia
ID468;3;1;5;4;22/03/2023;Ribeirao Preto
ID469;7;1;2;1;27/11/2023;Bauru
ID470;1;5;4;4;15/06/2023;Piracicaba
ID471;6;4;4;4;24/10/2023;Marilia
ID472;10;5;4;1;17/11/2023;Ribeirao Preto
ID473;10;1;1;5;11/09/2023;Bauru
ID474;1;4;1;1;28/06/2023;Piracicaba
ID475;7;5;2;5;21/04/2023;Marilia
ID476;5;3;5;2;28/10/2023;Ribeirao Preto
ID477;6;4;1;4;08/12/2023;Bauru
ID478;10;2;5;4;14/10/2023;Piracicaba
ID479;6;3;3;2;25/07/2023;Marilia
ID480;9;1;1;5;01/06/2023;Ribeirao Preto
ID481;8;4;5;1;20/02/2023;Bauru
ID482;1;3;1;3;30/12/2023;Piracicaba
ID483;6;5;2;1;20/09/2023;Marilia
ID484;2;1;1;4;08/08/2023;Ribeirao Preto
ID485;8;4;3;5;12/10/2023;Bauru
ID486;10;1;3;5;22/01/2023;Piracicaba
ID487;8;2;5;4;18/09/2023;Marilia
ID488;9;2;5;2;30/12/2023;Ribeirao Preto
ID489;8;4;4;5;04/02/2023;Bauru
ID490;9;3;2;2;28/10/2023;Piracicaba
ID491;9;4;2;2;10/07/2023;Marilia
ID492;4;2;4;2;26/11/2023;Ribeirao Preto
ID493;1;3;4;2;19/02/2023;Bauru
ID494;3;3;5;1;29/08/2023;Piracicaba
ID495;8;1;3;5;28/09/2023;Marilia
ID496;2;1;1;4;17/08/2023;Ribeirao Preto
ID497;1;4;1;3;20/02/2023;Bauru
ID498;9;4;5;4;15/09/2023;Piracicaba
ID499;7;2;5;2;20/04/2023;Marilia
ID500;7;2;5;1;27/01/2023;Ribeirao Preto
ID501;4;3;2;4;18/06/2023;Bauru
ID502;7;5;2;2;10/09/2023;Piracicaba
ID503;4;2;4;2;10/05/2023;Marilia
ID504;9;4;1;1;29/10/2023;Ribeirao Preto
ID505;4;2;5;2;27/02/2023;Bauru
ID506;10;3;5;3;04/01/2023;Piracicaba
ID507;9;5;1;2;22/04/2023;Marilia
ID508;8;4;5;5;30/09/2023;Ribeirao Preto
ID509;7;3;4;2;01/06/2023;Bauru
ID510;9;3;1;4;28/07/2023;Piracicaba
ID511;3;3;2;4;05/06/2023;Marilia
ID512;1;3;1;5;08/03/2023;Ribeirao Preto
ID513;7;4;4;4;30/10/2023;Bauru
ID514;3;4;2;2;22/05/2023;Piracicaba
ID515;7;1;4;3;19/04/2023;Marilia
ID516;10;5;3;2;21/08/2023;Ribeirao Preto
ID517;3;1;2;2;02/03/2023;Bauru
ID518;6;2;4;3;07/12/2023;Piracicaba
ID519;7;5;4;1;02/02/2023;Marilia
ID520;4;2;4;4;02/02/2023;Ribeirao Preto
ID521;10;4;1;2;25/08/2023;Bauru
ID522;1;3;2;3;19/04/2023;Piracicaba
ID523;8;2;2;2;25/10/2023;Marilia
ID524;5;1;4;4;10/01/2023;Ribeirao Preto
ID525;3;1;1;1;30/05/2023;Bauru
ID526;5;2;5;1;13/12/2023;Piracicaba
ID527;5;2;5;1;11/02/2023;Marilia
ID528;6;3;5;1;20/05/2023;Ribeirao Preto
ID529;9;5;5;2;22/06/2023;Bauru
ID530;1;4;4;4;12/10/2023;Piracicaba
ID531;4;3;1;3;03/07/2023;Marilia
ID532;3;1;1;2;05/01/2023;Ribeirao Preto
ID533;5;2;5;1;23/02/2023;Bauru
ID534;2;4;1;3;14/02/2023;Piracicaba
ID535;1;3;5;5;23/06/2023;Marilia
ID536;4;4;4;3;11/11/2023;Ribeirao Preto
ID537;4;4;4;2;17/08/2023;Bauru
ID538;10;5;4;1;13/12/2023;Piracicaba
ID539;10;1;4;2;05/06/2023;Marilia
ID540;5;3;1;2;17/11/2023;Ribeirao Preto
